1859; 5 Japanese ports open; event; 1; noteasy; Five Japanese ports are open to foreign trade following the Harris treaty.; Public domain; Following the signature of the Harris Treaty the previous year, Japan opens five of its coastal cities to the West: Yokohama, Kobe, Niigata, Hakodate, and Nagasaki (YoKo Ni HaNa). More follow in the next years, such as Edo or Osaka.; /

1860; Sakuradamon Incident; event; 1; easy; Ii Naosuke is killed outside Edo's Sakuradamon.; Public domain; Ii Naosuke, opposed to the opening of Japan to Western nations, is shot dead by Meiji sympathizers.; I read things about Sakuradamongai no Hen. I... don't really want to talk about it, it's way too graphic for me.

1865; American Civil War; event; 0; easy; The American Civil War ends.; U.S. National Archives; The American Civil War, also known in Europe as the "War of Secession", is a major armed conflict of the 19th century. As a non-American, I will abstain from elaborating on this.; They also call it the War between the States... Does it mean it bears similarities with the Japanese Warring States period? I'd have to ask Keine-sensei for this.
1869; Boshin War; event; 1; easy; The Boshin War ends, marking the end of the Edo period.; Public domain; The Meiji period began with the Boshin war, a short conflict but with major consequences for Japan. At the end of the war, the victorious new Meiji government would help Japan opening to the West.; /

1901; Fukuzawa Yukichi; people; 1; easy; Japanese philosopher Fukuzawa Yukichi dies.; Public domain; Fukuzawa Yukichi (Tenpou 5, 1835 - Meiji 34) was an influent Japanese philosopher and supporter of the Meiji Restoration policies. His legacy persists today on 10,000 yen bank notes, which are colloquially called "yukichi."; Ten... thousand yen banknotes? That's inflation for you, I guess.

1909; Ito Hirobumi; people; 1; easy; Meiji Restoration figure Ito Hirobumi is killed.; Public domain; Ito Hirobumi (Tenpou 12, 1841 - Meiji 42) was the first Prime Minister of Japan. He would greatly contribute strengthening the ties between Japan and Western nations. He was assassinated in Harbin Station (modern-day China) by a Korean independentist.; /

1916; Natsume Souseki; people; 1; easy; Japanese writer Natsume Souseki dies.; Public domain; Natsume Souseki (Keiou 3, 1867 - Taisho 5) was a Japanese writer known for reflecting (ha) his views of the Meiji era in his works, such as Botchan (1906), Sashirou (1908) or <s>Hata no</s> Kokoro (1914).; /

1922; Chiri Yukie; people; 1; noteasy; The Ainu writer Chiri Yukie dies.; Public domain; Chiri Yukie (Meiji 36 - Taisho 11) is probably one of the most known Ainu writers. Her short life was dedicated to the Ainu Shin'youshuu, a collection of oral tales told by the Ainu yukar.; Akyuu, is that you?

1932; Go-Ichigo incident; event; 1; noteasy; PM Inukai Tsuyoshi is killed during an attempted coup d'état.; Public domain; On May 15, hence the name Go-Ichigo, Prime Minister Inukai Tsuyoshi is killed in his own house by young military officers.; /

1961; Chiri Mashiho; people; 1; noteasy; The Ainu linguist Chiri Mashiho dies.; Public domain; Chiri Mashiho (Meiji 42 - Showa 36) was a prominent Ainu linguist of Ainu descent, and was also the brother of Chiri Yukie. His considerable works focused on the Ainu origins of Hokkaido place names.; sat-poro-pet, apa-sir, omu-pet, sit-tukari... It's a shame I can't get to see the picturesque Hokkaido that appears in the books. But I heard people from the Mansion went on a trip to see the lavender fields of fura-nu-i...

1962; Yanagita Kunio; people; 1; noteasy; The folklorist Yanagita Kunio dies.; Public domain; Yanagita Kunio (Meiji 8 - Showa 37) was a Japanese folklorist and author. Some of his works include Chimei no Kenkyuu (The Study of Place Names) or Tono Monogatari (yes, <i>these</i> Tales of Tono).; /

1963; Mikawa disaster; event; 1; noteasy; An explosion occurs at Mikawa mine, Fukuoka Pref., killing 458 miners.; TODO; On November 9, 1963, an explosion caused by sparkles from a runaway mining cart occurs in the Mitsui Miike-Mikawa mine, killing 458 and injuring 839 others (most from carbon monoxide inhalation). It's the most deadly mining accident in Japan since the end of the war.; Is that also one of the reasons why the coal industry isn't very developed in Gensokyo?

1964; Tokaido Shinkansen; event; 1; easy; The Tokaido Shinkansen, the first high-speed rail line in the world, opens.; CC0; Literally meaning "Tokaido New Trunk Line", the Shinkansen was built to reduce congestion on the Tokaido Main Line, which was oversaturated at the time.; They call it the "bullet train." I mean, it's technically true, since you wouldn't want to be in its path when it goes at full speed.

1969; Apollo 11; event; 0; easy; The first humans walk on the surface of the Moon.; NASA (Public domain); "I knew I was alone in a way that no earthling has ever been before. I am alone now, truly alone, and absolutely isolated from any known life. I am it." -Michael Collins; /

1972; Pong; tech; 0; easy; The game Pong is released.; Public domain; Pong is one of the first video games ever made. It also has some reflection mechanics. (hehe see what I just did there?); /
1972; Okinawa restitution; event; 1; easy; The United States-controlled prefecture of Okinawa is returned to Japan.; Public domain; After World War II and Japan's defeat, the United States temporarily occupied Okinawa Prefecture. To this day, they still have military air bases (Kadena, Futenma...) on the various islands of the archipelago.; (tries to speak English with limited success)

1975; JNR steam locomotives; event; 1; akyuu; Japanese Nat. Railways celebrate their last steam locomotive hauled passenger service.; See attribution; On December 14, 1975, a special "Sayounara SL" service hauled by a C57 steam locomotive arrives at Iwamizawa Station (Hokkaido) after a trip from the coastal city of Muroran.; There might be no bus services in Gensokyo, but who said that there couldn't be rail service?
1976; Agatha Christie; people; 0; easy; The British author Agatha Christie dies.; CC0; Agatha Chris-Q -I mean Christie is... actually do I really <i>need</i> to present her? ; Akyuu is that you again?
1977; Yubari coal mines; place; 1; noteasy; The last coal mine in Yubari City, Hokkaido, closes.; Public domain; Since the late 1960s, a golden era for Japan's mining industry, Yubari City has lost almost 90 % of its population. With only 6,000 inhabitants left, many parts of the city that once were crammed with apartment blocks for miners and their families, are being reclaimed by nature.; I don't think mining would be a viable industry in Gensokyo. That is, except if people are ready to live in cramped bunks far from the village's safety.
